"Country","Date","Total_Deaths","Per_Million_Total_Deaths"
"Saint Lucia",2020-06-30,0,0
"Saint Vincent and the Grenadines",2020-06-30,0,0
"San Marino",2020-06-30,42,1237.551
"Sao Tome and Principe",2020-06-30,13,59.317
"Saudi Arabia",2020-06-30,1599,45.93
"Senegal",2020-06-30,108,6.45
"Serbia",2020-06-30,274,40.267
"Seychelles",2020-06-30,0,0
"Sierra Leone",2020-06-30,60,7.522
"Singapore",2020-06-30,26,4.444
"Sint Maarten (Dutch part)",2020-06-30,15,349.797
"Slovakia",2020-06-30,28,5.129
"Slovenia",2020-06-30,111,53.393
"Somalia",2020-06-30,90,5.663
"South Africa",2020-06-30,2529,42.641
"South Korea",2020-06-30,282,5.5
"South Sudan",2020-06-30,37,3.305
"Spain",2020-06-30,28355,606.462
"Sri Lanka",2020-06-30,11,0.514
"Sudan",2020-06-30,572,13.045
"Suriname",2020-06-30,13,22.16
"Swaziland",2020-06-30,11,9.481
"Sweden",2020-06-30,5310,525.781
"Switzerland",2020-06-30,1681,194.232
"Syria",2020-06-30,9,0.514
"Taiwan",2020-06-30,7,0.294
"Tajikistan",2020-06-30,52,5.452
"Tanzania",2020-06-30,21,0.352
"Thailand",2020-06-30,58,0.831
"Timor",2020-06-30,0,0
"Togo",2020-06-30,14,1.691
"Trinidad and Tobago",2020-06-30,8,5.716
"Tunisia",2020-06-30,50,4.231
"Turkey",2020-06-30,5115,60.648
"Turks and Caicos Islands",2020-06-30,1,25.828
"Uganda",2020-06-30,0,0
"Ukraine",2020-06-30,1147,26.227
"United Arab Emirates",2020-06-30,314,31.748
"United Kingdom",2020-06-30,43575,641.885
"United States",2020-06-30,126140,381.085
"United States Virgin Islands",2020-06-30,6,57.459
"Uruguay",2020-06-30,27,7.773
"Uzbekistan",2020-06-30,24,0.717
"Vatican",2020-06-30,0,0
"Venezuela",2020-06-30,48,1.688
"Vietnam",2020-06-30,0,0
"Western Sahara",2020-06-30,1,1.674
"Yemen",2020-06-30,304,10.192
"Zambia",2020-06-30,22,1.197
"Zimbabwe",2020-06-30,7,0.471
"World",2020-06-30,505328,64.829
